givenVideo,comparedVideo,distance
--DwgB78t-c,2djNGFQDU-0,5
--DwgB78t-c,4zz7dPAeimk,5
--DwgB78t-c,7zQgPXN3Br4,5
--DwgB78t-c,84MXgWAqmG4,5
--DwgB78t-c,4w6LfW20Gb0,5
--DwgB78t-c,2ffqPwzk7lI,5
--DwgB78t-c,17hPlxxSJ-Y,5
--DwgB78t-c,717iote3znU,5
--DwgB78t-c,53UzERmKkqY,5
--DwgB78t-c,-2AFCgv5TCE,5
--DwgB78t-c,6ZA5zxp4BOw,5
--DwgB78t-c,2fHY7NyXFVg,5
--DwgB78t-c,6Xs2WGopSdc,5
--DwgB78t-c,Y9MqfaKTlqM,5
--DwgB78t-c,71wGp7glT8E,5
--DwgB78t-c,1g4yrVJ7r-0,5
--DwgB78t-c,0QRl2wTVJ48,5
--DwgB78t-c,2hBRc5JLjYE,5
--DwgB78t-c,1q5ViI_5Pxg,5
--DwgB78t-c,13PwGH8IKOQ,5
--DwgB78t-c,XzFh9MReGmY,5
--DwgB78t-c,0OhzhR087CM,5
--DwgB78t-c,Y2EswfPs2Sg,5
--DwgB78t-c,176tjFNfHGQ,5
--DwgB78t-c,0LJ12XOYqMw,5
--DwgB78t-c,50ucTCG5-YQ,5
--DwgB78t-c,4xGgjkmJ5qs,5
--DwgB78t-c,2W0z0FwczmU,5
--DwgB78t-c,0MGFyxaHvo0,5
--DwgB78t-c,6r696Ko05Hw,5
--DwgB78t-c,-2rYGzDSH_o,5
--DwgB78t-c,RAjh_lUHFuo,5
--DwgB78t-c,5JP7lvnKJMM,5
--DwgB78t-c,SN1GQWaWqDo,5
--DwgB78t-c,3W7c_0CmEfs,5
--DwgB78t-c,Rb29cJi3VmQ,5
--DwgB78t-c,67PQ9HypZaE,5
--DwgB78t-c,67wo27yLmBo,5
--DwgB78t-c,Rbj6Q5-ODjA,5
--DwgB78t-c,SN6bLsKRWcY,5
--DwgB78t-c,-Z1vPTsdZEg,5
--DwgB78t-c,-Zo1AyEMV-s,5
--DwgB78t-c,67nN4F9R6D4,5
